{INFO} com.app.main.HelloLog4j Hello from INFO     30-Dec-2020 Wednesday MST 14:22:27
{WARN} com.app.main.HelloLog4j Hello from WARN     30-Dec-2020 Wednesday MST 14:22:27
{ERROR} com.app.main.HelloLog4j Hello from ERROR     30-Dec-2020 Wednesday MST 14:22:27
{FATAL} com.app.main.HelloLog4j Hello from FATAL     30-Dec-2020 Wednesday MST 14:22:27
{INFO} com.app.service.HelloLogService hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:22:27
{INFO} com.app.service.HelloLogService bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:22:27
{INFO} com.app.main.HelloLog4j Hello from INFO     30-Dec-2020 Wednesday MST 14:25:51
{WARN} com.app.main.HelloLog4j Hello from WARN     30-Dec-2020 Wednesday MST 14:25:51
{ERROR} com.app.main.HelloLog4j Hello from ERROR     30-Dec-2020 Wednesday MST 14:25:51
{FATAL} com.app.main.HelloLog4j Hello from FATAL     30-Dec-2020 Wednesday MST 14:25:51
{INFO} com.app.service.HelloLogService hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:25:51
{INFO} com.app.service.HelloLogService bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:25:51
{INFO} com.app.main.HelloLog4j Hello from INFO     30-Dec-2020 Wednesday MST 14:26:08
{WARN} com.app.main.HelloLog4j Hello from WARN     30-Dec-2020 Wednesday MST 14:26:08
{ERROR} com.app.main.HelloLog4j Hello from ERROR     30-Dec-2020 Wednesday MST 14:26:08
{FATAL} com.app.main.HelloLog4j Hello from FATAL     30-Dec-2020 Wednesday MST 14:26:08
{INFO} com.app.service.HelloLogService hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:26:08
{INFO} com.app.service.HelloLogService bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:26:08
{INFO} -5INFO com.app.main.HelloLog4j Hello from INFO     30-Dec-2020 Wednesday MST 14:34:42
{WARN} -5WARN com.app.main.HelloLog4j Hello from WARN     30-Dec-2020 Wednesday MST 14:34:42
{ERROR} -5ERROR com.app.main.HelloLog4j Hello from ERROR     30-Dec-2020 Wednesday MST 14:34:42
{FATAL} -5FATAL com.app.main.HelloLog4j Hello from FATAL     30-Dec-2020 Wednesday MST 14:34:42
{INFO} -5INFO com.app.service.HelloLogService hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:34:42
{INFO} -5INFO com.app.service.HelloLogService bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:34:42
{INFO} - INFO com.app.main.HelloLog4j Hello from INFO     30-Dec-2020 Wednesday MST 14:35:54
{WARN} - WARN com.app.main.HelloLog4j Hello from WARN     30-Dec-2020 Wednesday MST 14:35:54
{ERROR} -ERROR com.app.main.HelloLog4j Hello from ERROR     30-Dec-2020 Wednesday MST 14:35:54
{FATAL} -FATAL com.app.main.HelloLog4j Hello from FATAL     30-Dec-2020 Wednesday MST 14:35:54
{INFO} - INFO com.app.service.HelloLogService hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:35:54
{INFO} - INFO com.app.service.HelloLogService bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:35:54
{INFO}  INFO com.app.main.HelloLog4j Hello from INFO     30-Dec-2020 Wednesday MST 14:37:10
{WARN}  WARN com.app.main.HelloLog4j Hello from WARN     30-Dec-2020 Wednesday MST 14:37:10
{ERROR} ERROR com.app.main.HelloLog4j Hello from ERROR     30-Dec-2020 Wednesday MST 14:37:10
{FATAL} FATAL com.app.main.HelloLog4j Hello from FATAL     30-Dec-2020 Wednesday MST 14:37:10
{INFO}  INFO com.app.service.HelloLogService hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:37:10
{INFO}  INFO com.app.service.HelloLogService bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:37:10
{INFO} 	com.app.main.HelloLog4j Hello from INFO     30-Dec-2020 Wednesday MST 14:45:11
{WARN} 	com.app.main.HelloLog4j Hello from WARN     30-Dec-2020 Wednesday MST 14:45:11
{ERROR} 	com.app.main.HelloLog4j Hello from ERROR     30-Dec-2020 Wednesday MST 14:45:11
{FATAL} 	com.app.main.HelloLog4j Hello from FATAL     30-Dec-2020 Wednesday MST 14:45:11
{INFO} 	com.app.service.HelloLogService hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:45:11
{INFO} 	com.app.service.HelloLogService bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:45:11
{INFO}	com.app.main.HelloLog4j Hello from INFO     30-Dec-2020 Wednesday MST 14:46:57
{WARN}	com.app.main.HelloLog4j Hello from WARN     30-Dec-2020 Wednesday MST 14:46:57
{ERROR}	com.app.main.HelloLog4j Hello from ERROR     30-Dec-2020 Wednesday MST 14:46:57
{FATAL}	com.app.main.HelloLog4j Hello from FATAL     30-Dec-2020 Wednesday MST 14:46:57
{INFO}	com.app.service.HelloLogService hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:46:57
{INFO}	com.app.service.HelloLogService bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:46:57
{INFO}	com.app.main.HelloLog4j Hello from INFO     30-Dec-2020 Wednesday MST 14:48:43
{WARN}	com.app.main.HelloLog4j Hello from WARN     30-Dec-2020 Wednesday MST 14:48:43
{ERROR}	com.app.main.HelloLog4j Hello from ERROR     30-Dec-2020 Wednesday MST 14:48:43
{FATAL}	com.app.main.HelloLog4j Hello from FATAL     30-Dec-2020 Wednesday MST 14:48:43
{INFO}	com.app.service.HelloLogService hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:48:43
{INFO}	com.app.service.HelloLogService bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:48:43
{INFO}	com.app.main.HelloLog4j Hello from INFO     30-Dec-2020 Wednesday MST 14:49:18
{WARN}	com.app.main.HelloLog4j Hello from WARN     30-Dec-2020 Wednesday MST 14:49:18
{ERROR}	com.app.main.HelloLog4j Hello from ERROR     30-Dec-2020 Wednesday MST 14:49:18
{FATAL}	com.app.main.HelloLog4j Hello from FATAL     30-Dec-2020 Wednesday MST 14:49:18
{INFO}	com.app.service.HelloLogService hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:49:18
{INFO}	com.app.service.HelloLogService bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:49:18
{INFO}	com.app.main.HelloLog4j	 Hello from INFO     30-Dec-2020 Wednesday MST 14:50:02
{WARN}	com.app.main.HelloLog4j	 Hello from WARN     30-Dec-2020 Wednesday MST 14:50:02
{ERROR}	com.app.main.HelloLog4j	 Hello from ERROR     30-Dec-2020 Wednesday MST 14:50:02
{FATAL}	com.app.main.HelloLog4j	 Hello from FATAL     30-Dec-2020 Wednesday MST 14:50:02
{INFO}	com.app.service.HelloLogService	 hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:50:02
{INFO}	com.app.service.HelloLogService	 bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:50:02
{INFO}	com.app.main.HelloLog4j 	Hello from INFO     30-Dec-2020 Wednesday MST 14:50:48
{WARN}	com.app.main.HelloLog4j 	Hello from WARN     30-Dec-2020 Wednesday MST 14:50:48
{ERROR}	com.app.main.HelloLog4j 	Hello from ERROR     30-Dec-2020 Wednesday MST 14:50:48
{FATAL}	com.app.main.HelloLog4j 	Hello from FATAL     30-Dec-2020 Wednesday MST 14:50:48
{INFO}	com.app.service.HelloLogService 	hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:50:48
{INFO}	com.app.service.HelloLogService 	bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:50:48
{INFO}	%	 Hello from INFO     30-Dec-2020 Wednesday MST 14:51:42
{WARN}	%	 Hello from WARN     30-Dec-2020 Wednesday MST 14:51:42
{ERROR}	%	 Hello from ERROR     30-Dec-2020 Wednesday MST 14:51:42
{FATAL}	%	 Hello from FATAL     30-Dec-2020 Wednesday MST 14:51:42
{INFO}	%	 hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:51:42
{INFO}	%	 bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:51:42
{INFO}	com.app.main.HelloLog4j	 Hello from INFO     30-Dec-2020 Wednesday MST 14:52:10
{WARN}	com.app.main.HelloLog4j	 Hello from WARN     30-Dec-2020 Wednesday MST 14:52:10
{ERROR}	com.app.main.HelloLog4j	 Hello from ERROR     30-Dec-2020 Wednesday MST 14:52:10
{FATAL}	com.app.main.HelloLog4j	 Hello from FATAL     30-Dec-2020 Wednesday MST 14:52:10
{INFO}	com.app.service.HelloLogService	 hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:52:10
{INFO}	com.app.service.HelloLogService	 bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:52:10
{INFO}	com.app.main.HelloLog4j 	Hello from INFO     30-Dec-2020 Wednesday MST 14:53:26
{WARN}	com.app.main.HelloLog4j 	Hello from WARN     30-Dec-2020 Wednesday MST 14:53:26
{ERROR}	com.app.main.HelloLog4j 	Hello from ERROR     30-Dec-2020 Wednesday MST 14:53:26
{FATAL}	com.app.main.HelloLog4j 	Hello from FATAL     30-Dec-2020 Wednesday MST 14:53:26
{INFO}	com.app.service.HelloLogService 	hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:53:26
{INFO}	com.app.service.HelloLogService 	bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:53:26
{INFO}	com.app.main.HelloLog4j 	Hello from INFO     30-Dec-2020 Wednesday MST 14:54:28
{WARN}	com.app.main.HelloLog4j 	Hello from WARN     30-Dec-2020 Wednesday MST 14:54:28
{ERROR}	com.app.main.HelloLog4j 	Hello from ERROR     30-Dec-2020 Wednesday MST 14:54:28
{FATAL}	com.app.main.HelloLog4j 	Hello from FATAL     30-Dec-2020 Wednesday MST 14:54:28
{INFO}	com.app.service.HelloLogService 	hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:54:28
{INFO}	com.app.service.HelloLogService 	bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:54:28
{INFO}	com.app.main.HelloLog4j 	Hello from INFO     30-Dec-2020 Wednesday MST 14:54:47
{WARN}	com.app.main.HelloLog4j 	Hello from WARN     30-Dec-2020 Wednesday MST 14:54:47
{ERROR}	com.app.main.HelloLog4j 	Hello from ERROR     30-Dec-2020 Wednesday MST 14:54:47
{FATAL}	com.app.main.HelloLog4j 	Hello from FATAL     30-Dec-2020 Wednesday MST 14:54:47
{INFO}	com.app.service.HelloLogService 	hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:54:47
{INFO}	com.app.service.HelloLogService 	bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:54:47
{INFO}	com.app.main.HelloLog4j 	Hello from INFO     30-Dec-2020 Wednesday MST 14:55:29
{WARN}	com.app.main.HelloLog4j 	Hello from WARN     30-Dec-2020 Wednesday MST 14:55:29
{ERROR}	com.app.main.HelloLog4j 	Hello from ERROR     30-Dec-2020 Wednesday MST 14:55:29
{FATAL}	com.app.main.HelloLog4j 	Hello from FATAL     30-Dec-2020 Wednesday MST 14:55:29
{INFO}	com.app.service.HelloLogService 	hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:55:29
{INFO}	com.app.service.HelloLogService 	bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:55:29
{INFO}	com.app.main.HelloLog4j 	Hello from INFO     30-Dec-2020 Wednesday MST 14:55:52
{WARN}	com.app.main.HelloLog4j 	Hello from WARN     30-Dec-2020 Wednesday MST 14:55:52
{ERROR}	com.app.main.HelloLog4j 	Hello from ERROR     30-Dec-2020 Wednesday MST 14:55:52
{FATAL}	com.app.main.HelloLog4j 	Hello from FATAL     30-Dec-2020 Wednesday MST 14:55:52
{INFO}	com.app.service.HelloLogService 	hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:55:52
{INFO}	com.app.service.HelloLogService 	bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:55:52
{INFO}	com.app.main.HelloLog4j 	Hello from INFO     30-Dec-2020 Wednesday MST 14:57:32
{WARN}	com.app.main.HelloLog4j 	Hello from WARN     30-Dec-2020 Wednesday MST 14:57:32
{ERROR}	com.app.main.HelloLog4j 	Hello from ERROR     30-Dec-2020 Wednesday MST 14:57:32
{FATAL}	com.app.main.HelloLog4j 	Hello from FATAL     30-Dec-2020 Wednesday MST 14:57:32
{INFO}	com.app.service.HelloLogService 	hello from log service helloLog()     30-Dec-2020 Wednesday MST 14:57:32
{INFO}	com.app.service.HelloLogService 	bye bye from log service helloLog()     30-Dec-2020 Wednesday MST 14:57:32
